osm_type,osm_id,name,lat,lon,holes_tag,fairways,hole_lines,tier
way,292927542,Northern Michigan University Golf Course,46.48138,-87.29213,,0,0,raster
way,292927543,Ontonagon Golf Club,46.87327,-89.28956,,1,9,partial
way,292927544,Perttu's Big Spruce Golf Course,46.57292,-89.1834,,0,0,raster
way,292927545,Pictured Rocks Golf Club,46.42715,-86.58472,,19,18,vector
way,292927546,Garden Golf Club,45.79691,-86.56125,,0,0,raster
way,292927547,Wild Bluff Golf Course,46.41787,-84.60847,,0,18,partial
way,292927548,Wyandotte Hills Golf Course,46.88926,-88.87178,,0,0,raster
way,292961977,Bay Harbor Golf Club,45.36231,-85.06477,,18,17,vector
way,292961978,Birchwood Farms Golf & Country Club,45.46717,-85.03849,,3,27,partial
way,292961979,Chestnut Valley Golf Course,45.48021,-84.88273,,1,0,raster
way,292961980,Crooked Tree Golf Club,45.35635,-85.0163,,20,20,vector
way,292961981,Harbor Point Golf Club,45.4358,-85.01068,,1,0,raster
way,292961982,Hidden River Golf and Casting Club,45.50409,-84.75109,,21,18,vector
way,292961984,Mackinaw Club,45.7165,-84.7369,,0,0,raster
way,292961985,True North Golf Club,45.51492,-84.99082,,23,18,vector
way,292961986,Wequetonsing Golf Club,45.4356,-84.96206,,0,0,raster
way,292961987,Wilderness Golf Course,45.7081,-84.83071,,0,0,raster
way,292966231,Black Lake Golf Course,45.41749,-84.27299,,12,13,vector
way,292966236,Cheboygan Golf & Country Club,45.65887,-84.51634,,4,0,partial
way,292966241,Indian River Golf Club,45.42309,-84.61704,,5,18,partial
way,292966246,Mullett Lake Country Club,45.56939,-84.51287,,0,9,partial
way,292970745,Rogers City Country Club,45.34829,-83.75918,,0,18,partial
way,292976652,Lawton Golf Club,42.17689,-85.84697,,1,0,raster
way,292981227,Charlevoix Municipal Golf Course,45.32543,-85.24347,,1,0,raster
way,292981228,Dunmaglas Golf Club,45.30142,-85.15438,,12,0,vector
way,292981229,Heatherwoods Golf Course,45.34143,-85.21554,,23,0,vector
way,292981230,Mallard Golf Club,45.14327,-85.17168,,0,0,raster
way,292981231,Walloon Lake Country Club,45.28795,-84.9532,,0,0,raster
way,292981232,Ye Nyne Old Holles Golf Course,45.24416,-85.10531,,4,9,partial
way,292985062,Black Bear Golf Club,45.18011,-84.64036,,16,18,vector
way,292985063,Black Forest at Wilderness Valley,44.86586,-84.80413,,0,0,raster
way,292985064,Green Trees Golf Course,45.03192,-84.73785,,0,0,raster
way,292985067,Michaywe Pines,44.93861,-84.62749,,0,0,raster
way,292985068,The Classic,45.03212,-84.6572,,0,18,partial
way,292985069,The Lakes Golf Course,44.94539,-84.64692,,0,0,raster
way,292985070,The Natural at Beaver Creek Resort,44.9608,-84.71313,,0,0,raster
way,292985071,The Tribute,45.04632,-84.65198,,0,0,raster
way,292985072,Treetops,45.09976,-84.59714,,7,11,partial
way,292985074,Wilderness Valley,44.87675,-84.79618,,0,0,raster
way,292986579,Alpena Golf Club,45.09053,-83.46931,,18,18,vector
way,292986580,Greenbush Golf Course,44.60094,-83.31845,,0,0,raster
way,292986581,Lost Lake Woods Golf Course,44.7846,-83.41224,,0,0,raster
way,292986582,Monarch Ridge Golf Course,44.83336,-83.41752,,0,0,raster
way,292986585,White Pine National,44.75281,-83.51378,,0,0,raster
way,293134257,Antrim Dells,45.17027,-85.35449,,0,18,partial
way,293134258,Bay Meadows Golf Course,44.77094,-85.67782,,14,18,vector
way,293134260,Cedar Valley Golf Club,44.79116,-84.03253,,0,0,raster
way,293134261,Centennial Farm Golf Club,44.99448,-85.16041,,0,0,raster
way,293134262,Deer Run Golf at Lakes of the North,44.91667,-84.86703,,15,18,vector
way,293134263,Fairview Hills Golf Club,44.72132,-84.11433,,0,0,raster
way,293134264,Grandview Golf Club,44.76012,-85.07924,,4,18,partial
way,293134265,Grayling Country Club,44.65441,-84.71416,,18,18,vector
way,293134266,Hawk's Eye Golf Course,44.9589,-85.15004,,1,0,raster
way,293134268,Schuss Mountain Golf Course,44.93431,-85.13204,,0,0,raster
way,293134269,Sundance,45.02492,-85.34495,,20,18,vector
way,293134270,The Chief Golf Course,44.96274,-85.18317,,12,17,vector
way,293134271,The Legend Golf Course,44.94341,-85.18511,,0,0,raster
way,293134272,Timber Wolf Golf Club,44.70809,-85.05836,,0,0,raster
way,293134273,Torch,45.02697,-85.33704,,6,18,partial
way,293134274,Twin Birch Golf Course,44.73797,-85.14892,,0,0,raster
way,293247441,"""The Old Course"" at Sugar Loaf",44.91337,-85.81096,,16,18,vector
way,293247442,Arcadia Bluffs Golf Club,44.45663,-86.24196,,14,18,vector
way,293247443,Betsie Valley,44.51663,-85.9976,,16,15,vector
way,293247444,Birch Valley Golf Course,43.90573,-85.14252,,0,0,raster
way,293247445,Antioch Hills Golf Club,44.40077,-85.69076,,14,18,vector
way,293247446,Burning Oak Country Club,44.39797,-84.67848,,0,0,raster
way,293247447,Caberfae Peaks,44.24699,-85.72817,,0,0,raster
way,293247448,The Retreat,44.17769,-86.29501,,16,18,vector
way,293247449,Champion Hill Golf Course,44.6395,-86.03127,,6,18,partial
way,293247450,Crystal Downs Country Club,44.70064,-86.22664,,18,18,vector
way,293247451,Crystal Lake Golf Club,44.63896,-86.0716,,16,18,vector
way,293247452,The Revenge,44.18227,-86.314,,2,0,raster
way,293247453,Devil's Knob Golf Course,44.04368,-84.7121,,1,9,partial
way,293247454,Eagle Glen Golf Course,43.8521,-84.8749,,16,18,vector
way,293247455,Firefly Golf Links,43.87763,-84.75866,,0,0,raster
way,293247456,Hawk Golf Course,44.30466,-85.4195,,0,0,raster
way,293247457,Knoll View Golf Course,44.04464,-83.76531,,0,0,raster
way,293247458,Lakewood on the Green,44.19565,-85.48908,,0,0,raster
way,293247459,Manitou Passage Golf Club,44.90985,-85.82429,,15,0,vector
way,293247460,Missaukee Golf Club,44.26288,-85.22018,,0,0,raster
way,293247461,Mountain Flowers,44.91867,-85.96606,,1,0,raster
way,293247463,Pine River Golf Club,43.98662,-83.89704,,18,17,vector
way,293247464,Pine View Highlands,44.29496,-84.7385,,17,18,vector
way,293247465,Red Hawk Golf Club,44.35468,-83.53828,,17,18,vector
way,293247466,Rifle River Golf Course,44.06517,-84.02995,,0,0,raster
way,293247468,Snow Snake Golf Course,43.96299,-84.78275,,4,18,partial
way,293247469,Spring Valley Golf Course,43.87646,-85.45524,,0,0,raster
way,293247470,Tawas Creek Golf Club,44.30913,-83.53474,,0,0,raster
way,293247471,The Heathlands,44.34046,-86.21043,,0,2,raster
way,293247472,The Leelanau Club at Bahle Farms,44.93631,-85.66927,,22,18,vector
way,293247473,The Quest Golf Club,44.32406,-84.78652,,19,18,vector
way,293247474,The Rose Golf Course,44.08064,-85.41496,,0,0,raster
way,293247475,Tustin Trails Golf Course,44.10755,-85.44685,,0,0,raster
way,293247476,Wicker Hills Golf Club,44.45006,-83.8178,,0,0,raster
way,293249043,Apple Valley Golf Course,44.30791,-84.20886,,2,18,partial
way,293249044,Edgewood Greens Golf Course,44.27164,-83.92604,,0,0,raster
way,293249045,The Dream GC,44.28335,-84.33753,,27,29,vector
way,293249046,The Nightmare GC,44.26949,-84.35289,,19,18,vector
way,293249047,West Branch Country Club,44.28127,-84.21889,,15,18,vector
way,293254867,Driftwood Golf Course,43.82279,-86.37586,,0,0,raster
way,293254868,Grand View Golf Course,43.54796,-86.38155,,5,18,partial
way,293254869,Intimidator Golf Course,43.79946,-85.65356,,0,0,raster
way,293254870,Northwood Golf Course,43.50391,-85.99447,,0,0,raster
way,293254871,Oceana Golf Club,43.64165,-86.36316,,4,18,partial
way,293254872,Pilgrim's Run Golf Course,43.3486,-85.57379,,11,18,vector
way,293254873,Summer Breeze Par Three Golf Course,43.44787,-85.94303,,0,0,raster
way,293254874,Thoroughbred Golf Club,43.53681,-86.36271,,0,1,raster
way,293254875,Waters Edge Golf Course,43.47515,-85.92744,,2,0,raster
way,293323695,Clear Lake Golf Club,43.68163,-85.38244,,0,0,raster
way,293323696,Falcon Head Golf Club,43.65957,-85.47633,,0,0,raster
way,293323697,Katke Golf Course,43.68404,-85.50303,,17,18,vector
way,293323698,Saint Ives,43.60629,-85.30755,,25,18,vector
way,293323699,The Highlands,43.60482,-85.32089,,0,0,raster
way,293323700,The Pines,43.5727,-85.29305,,0,0,raster
way,293323701,Tullymore,43.56424,-85.32502,,18,18,vector
way,293336798,Bucks Run Golf Club,43.62113,-84.62092,,23,36,vector
